instance,best_obj,lower_bound,gap_percent,total_time
250_r0c14_nw1000_ew10_0.rgg,5316.0000,5316.0000,0.00,0.1681
250_r0c14_nw1000_ew10_1.rgg,4646.0000,4646.0000,0.00,0.1285
250_r0c14_nw1000_ew10_2.rgg,4876.0000,4876.0000,0.00,0.1223
250_r0c14_nw1000_ew10_3.rgg,5145.0000,5145.0000,0.00,0.1525
250_r0c14_nw1000_ew10_4.rgg,4199.0000,4199.0000,0.00,0.1204
250_r0c14_nw1000_ew10_5.rgg,3813.0000,3813.0000,0.00,0.1118
250_r0c14_nw1000_ew10_6.rgg,5475.0000,5475.0000,0.00,0.1640
250_r0c14_nw1000_ew10_7.rgg,4862.0000,4862.0000,0.00,0.1312
250_r0c14_nw1000_ew10_8.rgg,5023.0000,5023.0000,0.00,0.1210
250_r0c14_nw1000_ew10_9.rgg,4686.0000,4686.0000,0.00,0.1535
250_r0c14_nw100_ew100_0.rgg,6951.0000,6951.0000,0.00,1.1663
250_r0c14_nw100_ew100_1.rgg,7101.0000,7101.0000,0.00,6.1247
250_r0c14_nw100_ew100_2.rgg,7343.0000,7343.0000,0.00,3.3893
250_r0c14_nw100_ew100_3.rgg,7372.0000,7372.0000,0.00,5.8997
250_r0c14_nw100_ew100_4.rgg,7126.0000,7126.0000,0.00,1.6394
250_r0c14_nw100_ew100_5.rgg,7162.0000,7162.0000,0.00,1.3428
250_r0c14_nw100_ew100_6.rgg,7026.0000,7026.0000,0.00,1.2332
250_r0c14_nw100_ew100_7.rgg,7015.0000,7015.0000,0.00,4.2166
250_r0c14_nw100_ew100_8.rgg,7115.0000,7115.0000,0.00,1.3453
250_r0c14_nw100_ew100_9.rgg,7027.0000,7027.0000,0.00,2.4308
250_r0c14_nw10_ew1000_0.rgg,56899.0000,56899.0000,0.00,3.4714
250_r0c14_nw10_ew1000_1.rgg,53715.0000,53715.0000,0.00,2.4640
250_r0c14_nw10_ew1000_2.rgg,51006.0000,51006.0000,0.00,1.8845
250_r0c14_nw10_ew1000_3.rgg,55618.0000,55618.0000,0.00,3.2701
250_r0c14_nw10_ew1000_4.rgg,54306.0000,54306.0000,0.00,2.7468
250_r0c14_nw10_ew1000_5.rgg,51787.0000,51787.0000,0.00,1.5729
250_r0c14_nw10_ew1000_6.rgg,54254.0000,54254.0000,0.00,1.8505
250_r0c14_nw10_ew1000_7.rgg,53754.0000,53754.0000,0.00,5.7801
250_r0c14_nw10_ew1000_8.rgg,55432.0000,55432.0000,0.00,3.4562
250_r0c14_nw10_ew1000_9.rgg,52976.0000,52976.0000,0.00,1.5901
